id,cid,catid1,catid2,catid3,tag,blabel,publicview,imgvh,title1,title2,title3,title4,title5,title6,creator1,creator2,creator3,creator4,creator5,creator6,creator7,creator8,creator9,creator10,creator11,creator12,creator13,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8,subject9,description1,description2,description3,description4,description5,description6,publisher1,publisher2,contributor1,date1,date2,type1,type2,format1,format2,identifier1,identifier2,identifier3,source1,language1,language2,language3,relation1,coverage1,pdffile,pdfsize
40,0,0,0,0,0012_000660_000220,"""I'm Forever Thinking of You""",Y,650,I'm Forever Thinking of You,,,,,,,,"Senna, Clarence",,,"Fitzgerald, Lillian",,,,,,,,,,,,,,,,,,,,,,,New York : A. J. Stasny Music Co.,,,1920,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 32",English,,,,,0012_000660_000220.pdf,3037094
41,0,0,0,0,0012_000660_000219,"""Till We Meet Again""",Y,650,Till We Meet Again,,,,,,,,"Whiting, Richard A.",,,"Egan, Raymond, B.",,,,,,,,,,,,,,,,,,,,,,,New York : Jerome H. Remick & Co.,,,1918,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 29",English,,,,,0012_000660_000219.pdf,3291891
42,0,0,0,0,0012_000660_000218,"""You Remind Me So Much of My Mother""",Y,650,You Remind Me So Much of My Mother,,,,,,,,"McConnell, George B.",,,"Dubin, Al.",,,,,,,,,,,,,,,,,,,,,,,"Philadelphiak, PA : Emmett J. Welch",,,1915,,Text,,1 score (x p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 26",English,,,,,0012_000660_000218.pdf,4273378
43,0,0,0,0,0012_000660_000217,"""All the World Will Be Jealous of Me""",Y,650,All the World Will Be Jealous of Me,,,,,,,,"Ball, Ernest R.",,,"Dubin, Al.",,,,,,,,,,,,,,,,,,,,,,,New York : M. Witmark & Sons,,,1907,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 25",English,,,,,0012_000660_000217.pdf,3216538
44,0,0,0,0,0012_000660_000216,"""Listen to the Mocking Bird""",Y,650,Listen to the Mocking Bird,,,,,,,,"Drumheller, Louis A.",,,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA : Eclipse Pub. Co.",,,1908,,Text,,1 score (6 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 24",English,,,,,0012_000660_000216.pdf,4603042
45,0,0,0,0,0012_000660_000215,"""Oh! You Million Dollar Doll""",Y,650,Oh! You Million Dollar Doll,,,,,,,,"Abrahams, Maurice",,,"Clarke, Grant ","Leslie, Edgar ",,,,,,,,,,,,,,,,,,,,,,New York : Maurice Abrahams Music Co. Inc.,,,1913,,Text,,1 score (6 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 20",English,,,,,0012_000660_000215.pdf,4351409
46,0,0,0,0,0012_000660_000214,"""You'll Find Old Dixieland in France""",Y,650,You'll Find Old Dixieland in France,,,,,,"Williams, Bert",,"Meyer, George w.",,,"Clarke, Grant","Delamarre, Louis",,,,,,,,,,,,,,,,,,,,,,"New York : Leo Feist, Inc.",,,1918,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 19",English,French,,,,0012_000660_000214.pdf,3149173
47,0,0,0,0,0012_000660_000213,"""He'd Have to Get Under-Get Out and Get Under (To Fix Up His Automobile)""",Y,650,He'd Have to Get Under-Get Out and Get Under (To Fix Up His Automobile),,,,,,"North, Bobby",,"Abrahams, Maurice",,,"Clarke, Grant  ","Leslie, Edgar ",,,,,,,,,,,,,,,,,,,,,,New York : Maurice Abrahams Music Co. Inc.,,,1913,,Text,,1 score (6 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 18",English,,,,,0012_000660_000213.pdf,4442928
48,0,0,0,0,0012_000660_000212,"""Dreaming Sweet Dreams of Mother""",Y,650,Dreaming Sweet Dreams of Mother,,,,,,,,"Brennan, James",,,"Caddigan, Jack",,,,,,,,,,,,,,,,,,,,,,,"New York : Leo Feist, Inc.",,,1918,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 15",English,,,,,0012_000660_000212.pdf,2841578
49,0,0,0,0,0012_000660_000211,"""All the Little Lovin' That I Had for You is Gone-Gone-Gone""",Y,650,All the Little Lovin' That I Had for You Is Gone-Gone-Gone,,,,,,,,"Smith, Chris",,,"Burris, Jim",,,,,,,,,,,,,,,,,,,,,,,New York : Jos. W. Stern & Co.,,,1913,,Text,,1 score (6 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 14",English,,,,,0012_000660_000211.pdf,4359545
50,0,0,0,0,0012_000660_000210,"""(I'm Over Here-You're Over There) We'll Do Our Share (While You're Over There)""",Y,650,(I'm Over Here-You're Over There) We'll Do Our Share (While You're Over There),,,,,,,,"Egan, Jack",,,"Brown, Lew ","Harriman, Al",,,,,,,,,,,,,,,,,,,,,,New York : Broadway Music Corporation,,,1918,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 12",English,,,,,0012_000660_000210.pdf,3472181
51,0,0,0,0,0012_000660_000209,"""When Ireland Comes Into Her Own (2 copies)""",Y,650,When Ireland Comes into Her Own (2 copies),,,,,,,,"Stanley, Jack",,,"Branen, Jeff",,,,,,,,,,,,,,,,,,,,,,,New York : Broadway Music Corporation,,,1919,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 11",English,,,,,0012_000660_000209.pdf,3029926
52,0,0,0,0,0012_000660_000208,"""You're More Than the World To Me""",Y,650,You're More Than the World To Me,,,,,,Nonette,,"Solman, Alfred",,,"Branen, Jeff",,,,,,,,,,,,,,,,,,,,,,,New York : Joe Morris Music Co.,,,1914,,Text,,1 score (6 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 10",English,,,,,0012_000660_000208.pdf,4196858
53,0,0,0,0,0012_000660_000207,"""Everybody's Doin' It Now""",Y,650,Everybody's Doin' It Now,,,,,,"Barry, Lydia",,"Berlin, Irving",,,,,,,,,,,,,,,,,,,,,,,,,,New York : Ted Snyder Co.,,,1911,,Text,,1 score (6 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 9",English,,,,,0012_000660_000207.pdf,4284544
54,0,0,0,0,0012_000660_000206,"""They Were All Out of Step But Jim""",Y,650,They Were All Out of Step But Jim,,,,,,,,"Berlin, Irving",,,,,,,,,,,,,,,,,,,,,,,,,,"New York : Waterson, Berlin & Snyder Co.",,,1918,,Text,,1 score (4 p.),image/jpeg,,,2187,"MS.2187, Box 1, Folder 8",English,,,,,0012_000660_000206.pdf,3175643
